,comment,label
0,sản phẩm ko giống mô tả dây trông bẩn lỏng lẻo mua đc rẻ nhưng rất ko hài lòng,negative
1,màu sắc:đẹp đúng với mô tả:đúng với ảnh chất liệu:tốt rất ổn với những j đã bỏ ra,positive
2,"màu sắc:đúng màu chọn đúng với mô tả:lớp vỏ ngoài không chắc chắn lắm chất liệu:chất liệu da trong tốt, lớp ngoài kém phải dùng thử 1 thời gian mới biết được",negative
3,chất liệu:tốt màu sắc:trắng đúng với mô tả:không đúng với hình mô tả,neutral
4,màu sắc:trắng nâu chất liệu:không biết đúng với mô tả:chưa giao hàng sao mình chưa nhận được hàng mà sao nó báo là đơn hàng đã đc giao thành công mình đã đi hỏi sung quanh coi ai nhận hàng giùm thì ko ai nhận hết và có hỏi trong gia đình thì ko nhận đc hàng ạ,neutral
5,chất liệu:ko đảm bảo chất lượng màu sắc:khác đúng với mô tả:ko giống trong cái nịt tôi mua sản phẩm ko đảm bảo ko đúng màu sắc khác,negative
6,đờ mờ mờ hài như con c** phần thắt lưng rồi còn bị tách ra không hiểu sao luôn xót luôn bán giả vậy,negative
7,"màu sắc:trắng đúng với mô tả:không hàng nhăn với rách to quá,không như mình đợi dùng vài bữa toe tỗ luôn,đúng hàng rẻ",positive
8,màu sắc:đúng chất liệu:đã bị bong ra đúng với mô tả:ko hàng như đã qua sử dụng,negative
9,"quà tặng không đúng như mô tả, mua hàng giao thiếu nhắn tin shops không trả lời",negative
10,"đúng với mô tả:không đúng với mô tả màu sắc:xấu ko đẹp,có mùi sơn",negative
11,chất liệu:như cái l đúng với mô tả:không dùng tí đã rách hỏng,negative
12,đúng với mô tả:gọi tv thì tắt màu sắc:mua trắng giao đen,negative
13,màu sắc:trắng đúng với mô tả:đúng chất liệu:chịu 1 sao thoiii,positive
14,đúng với mô tả:như sit màu sắc:rách ko nên mua,negative
15,màu sắc:trắng đen caro đúng với mô tả:đúng vs mô tả (2m) chất liệu:ko bt,neutral
16,màu sắc:trắng đen đúng với mô tả:đục sẵn 5 lỗ chất liệu:đẹp tuyệt vời,positive
17,chất liệu:tạm ổn màu sắc:đúng đúng với mô tả:không khâu viền như hình ảnh mô tả,positive
18,đúng với mô tả:khác hình ảnh chất liệu:nhựa dẻo màu sắc:đen xanh,neutral
19,chất liệu:được đúng với mô tả:không đúng với mô tả,negative
20,chỉ có mỗi dây k,negative
21,chất liệu:ok đúng với mô tả:đẹp màu sắc:đen,positive
22,chất liệu:kém màu sắc:bình thường đúng với mô tả:gần đúng,negative
23,chất liệu:như hình màu sắc:hơi mờ nhạt hơi cạo bong đúng với mô tả:đúng với mô tả nhưng hàng kém hàng hơi kém chất lượng,negative
24,đúng với mô tả:đúng nha vấn đề là sơn nó rất dễ tróc ra vừa nhận về mà tróc mớ r rất là tệ không nên mua,negative
25,chất liệu:đc màu sắc:ko đúng đc nhưng mà sai màu theo yêu cầu của tôi,neutral
