,comment,label,Unnamed: 0
0,"đóng gói chưa kĩ , hàng về tay mở ra bị móp méo nên hơi thất vọng. bông mút mềm dặm nền ổn. đánh giá chỉ 4 sao thôi",negative,
1,"mới nhận về nó bị móp méo nhìn kh đẹp lắm, màu hồng chinh, đàn hồi tốt",neutral,
2,"mút mềm, nhưng hơi bị nhiều đường bấm vô áaaa nhưng vẫn ok, ship nhanh",neutral,
3,"miếng mút bị tét đít, giao hàng nhanh, giặt mút bung to, tán nền dễ",neutral,
4,công dụng:bình thường bao bì/mẫu mã:bình thường chất lượng và giá thành hợp lý . sẽ ủng hộ lần sau,positive,
5,"bao bì/mẫu mã:#7 giao nnhah.. mẫu mã đẹp,,êm",positive,
6,"chưa dùng nên ko biết dùng có ổn ko, khi dùng sẽ recmt. nhìn chung mút đẹp, mềm tay, ở dưới bị 1 chấm lỗ nhỏ mình ko biết do cấu trúc nó vậy hay bị vấn đề gì ạ!",neutral,
7,cũng hài lòng với chất lượng sản phẩm. thời gian giao hàng khá nhanh chóng.,positive,
8,"bao bì/mẫu mã:dep công dụng:make up hộp đẹp xịn xò, màu quá chi là dễ thương, giá lại quá hời nữa chứ. cảm thấy hài lòng với đơn hàng này",positive,
9,"chuẩn bị hàng lẹ, giao hàng nhanh. đánh dàn nền ổn, nên xịt một lớp xịt khoáng lên bông để bông đỡ hút phấn nền",positive,
10,"bao bì/mẫu mã:mauf đẹp , mềm, trang điểm rất thích công dụng:dùng cho trang điểm ban đầu mua tưởng 2 cái trong 1 gói nhưng chỉ có 1 cái",positive,
11,"bao bì/mẫu mã:đẹp công dụng:đánh nền nhỏ gọn, mịn màng, cầm thôi đã thích tay rồi á :3 có một lớp lông siêu mịn bao phủ quanh bề mặt mút",positive,
12,"kinh nghiệm sử dụng:mềm mịn đánh đã tay bao bì:dthw vô cùng luôn nhé mốt mua thêm mấy loại nx cho đủ màu, đánh nền thử r nên màu hơi nâu nâu dính nha",positive,
13,"công dụng:make up bao bì/mẫu mã:chuẩn shop giao hàng nhanh và đóng gói siêu kĩ siêu có tâm luôn nhé, đồ make up nhà focallure thì hông còn gì để nói nữa, vừa rẻ vừa xinh á 🌷🌷🌷",positive,
14,"công dụng:mút tán nền bao bì/mẫu mã:như ảnh mình săn sale đợt 10/10 nên giá hời lắm đóng gói chỉn chu mà giao hàng quá nhanh luôn, 1 ngày là có hàng rồi",positive,
15,"nói chung là tuỵt nha, đặt hàng hôm nay ngày mai giao tới, quá là mau lẹ, hàng siêu rẻ xài rất ưng so với giá nha",positive,
16,"công dụng:tán nền bao bì/mẫu mã:bao bì mẫu mã đẹp sản phẩm đẹp và tốt, bông mút mền, mịn,.... shop trả lời tin nhắn nhanh và nhiệt tình. đóng gói hàng cẩn thận, giao hàng nhanh và shipper thân thiện.",positive,
17,"shop gói hàng xinh cực, bóc hàng mà k lỡ cắt vì túi gói siêu xịn sò ☺️ chưa sd lên chưa biết nhưng nhìn rất xinh. tặng shop 5s đầu năm may mắn",positive,
18,"công dụng:makeup bao bì/mẫu mã:ok săn sale ngày 12/12 nên đc giá ok lắm ạ, hình thức hộp đẹp, đóng gói cẩn thận, nhận hàng nhanh",positive,
19,công dụng:đánh kem bao bì/mẫu mã:đẹp shop cbi và giao hàng nhanh. đóng gói cẩn thận chắc chắn đầy đủ hàng. vô tình thấy sp dc reiw nhiều nên mua trải nghiệm thử. sd tốt quay lại ủng hộ tiếp ok nên mua. giá fai chăng. tặng thêm nhìu quà,positive,
20,"bao bì/mẫu mã:xinh công dụng:dặm nền, phấn,... xinh lắm mấy bà, mềm nữa. lúc thấm nước nó nở to ra, thấm khô thì thu nhỏ lại:))).",positive,
21,"bao bì/mẫu mã:đẹp, nhìn sang trọng công dụng:làm đẹp shipper giao hàng nhanh, tận tình. hàng nhận nhanh, bao bì mẫu mã đẹp. sẽ tiếp tục ủng hộ shop khi dùng hết",positive,
22,"bao bì/mẫu mã:cx dc công dụng:đánh kemm trong hình mình thấy nó màu xám mà ở ngoài nó màu tím huhu bíc z mua hồng ròi mà mút cx dc nha kiểu chắc chắn cứng cáp á, cx mềm nữa sẽ sử dụng dc lâu í",negative,
23,"bao bì/mẫu mã:ddepj lông cọ mềm, thân cọ đẹp. nhưng mà shop giao thiếu cho mình 1 cọ. làm mình tìm mãi tưởng mình làm mất nhưng k phải. xem lại ảnh shop đăng mới biết shop đã giao thiếu cho mình ngay từ đầu. quá thất vọng 🥲🥲",negative,
24,"công dụng:cọ trang điểm bao bì/mẫu mã:tạm lông cọ mềm, nhỏ vừa tay, gắn phần đầu cọ với thân chắc chắn. giống ảnh shop mô tả",negative,
25,"lông mềm mịn cực mn ui, ăn phấn dữ lắm nhưng mà có một cây cứ vuốt tới đâu lông rụng tới đó nên thất vọng nhẹ xíu",neutral,
26,"công dụng:makeup shop giao thiếu 3 cây cọ, nhưng mình đang cần gấp nên không hoàn trả hàng được. lông cọ khá mềm",neutral,
27,"công dụng:mekup bao bì/mẫu mã:màu nâu cọ cũng không mềm cho lắm , tua giá nhv ổn vs sản phẩm rồi, sẽ ghé lại lần sau khi mua thêm . chất lượng ổn nhé , shipper thân thiện vui tính 😆",positive,
28,"bao bì:ok mẹo:makeup kinh nghiệm sử dụng:dùng để makeup cọ cũng ok nha, lông cũng không quá cứng, giao đầy đủ cọ",positive,
29,đam mê thiệt sự... bánh dẻo thì làm siêu cuốn... bánh trung thu thì cực phần canh lò phải hiểu cái lò bánh mới đạt thì mới bảo quản lâu...k có nhiệt độ nhất định vì hé cửa là nó đã khác...cả một hành trình đi tìm lối đi cho mình... kết thúc mùa trăng 2024,positive,
30,"công dụng:trang điểm bao bì/mẫu mã:ok đẹp ạ , mn lên chọn màu đen nha vừa sang vừa chắc chắn , cọ ok lắm ạ , với giá rẻ như vậy thì mn lên mua nha nó cũng không khác gì mấy bộ cọ 150-300 đâu ạ , chỉ bé hơn xíu thui",positive,
31,"sản phẩm phù hợp với giá thành. dùng cọ trên da mặt mình thấy hơi khó chịu, chắc do da mình nhạy cảm. dc cái giá rẻ, giao hàng nhanh thôi. chưa ưng ý lắm",negative,
32,cọ mịn nhưng không đều nhé mn. vì giá cũng hok cao nên hok mong chất lượng cao lắm. dừng lại ở vc tạm ổn nhé.,negative,
33,"troi oi tôi tưởng nó bự chà bá lắm ai dè tiền nào của nấy nha mng, thà bỏ thêm chút tiền mua của focallure còn đáng hơn á :) cọ này phù hợp vs ng ms bắt đầu tập make thôi nhe",negative,
34,"mẹo:rửa cọ sau khi sử dụng kinh nghiệm sử dụng:dùng lâu sẽ bị đứt, gãy, rụng lông đầu cọ bao bì:ok cọ nhận về cũng ok, có nhiều cây bị rơi vài cọng lông, giá thành như vầy là ok rồi",positive,
35,"thời gian giao hàng nhanh chóng, đóng gói sản phẩm chắc chắn đẹp",positive,
36,"mình thấy đầu cọ dùng cứng quá, cọ tí mắt mà đau rát cả mắt ấy, nói chung cũng tạm được",negative,
37,"cọ bé xíu, lông mềm qyeibf sjbfjw idndu bshjd nfjjdj jdifjjwi",negative,
38,"công dụng:cọ đánh phấn bao bì/mẫu mã:màu nâu giao đủ 9 cọ, giao đúng màu, cọ cầm chắc tay, lông cọ mềm, đánh phấn ổn",positive,
39,bao bì:bao ni long kinh nghiệm sử dụng:ok đủ cọ cọ lông mềm khá ok thân cầm chắc chắn đúng màu trong ảnh đúng kiểu cọ,positive,
40,cọ đẹp lắm lông mềm nhe màu cọ cx đẹp nựa ns chung là dịu keo đó ai mới tập make up cần ít ít cọ cơ bản thì tui nghĩ là bộ này ổn á so vs giá tiền mà chất lượng như này thì tui thấy ổn,positive,
41,công dụng:trang điểm bao bì/mẫu mã:bọc ngoài nilon nhưng vẫn có chống sóc chưa test thử nhưng cầm vừa tay màu ko dễ bẩn mùo lúc mới mua ko bị hắc,positive,
42,"công dụng:đánh mắt bao bì/mẫu mã:bình thường lông cọ mềm , mình cũng ko hiểu rõ về mấy cái công dụng của cọ lắm ,có mấy cây lông không đều lúc thì màu lông sai lúc thì cái cao cái thấp nhưng ko sao 4* ( mình có sài mấy cây r nên đầu cọ hơi hồng )",positive,
43,"công dụng:make up bao bì/mẫu mã:ổn giao hành nhanh, cọ không quá cứng nhưng cũng k quá mềm, mức trung bình thôi. tán lên mặt thì khá là mịn, giá cả phù hợp cho những ai không có tiền như mình.",positive,
44,"mới đầu nhận tưởng nhầm hàng chứ ;)) nhận bao bì nhỏ xíu như bao bì ốp đt. cọ nhỏ xinh, lông mềm okela lắm ạ. chưa test lên mặt nên kb sao",negative,
45,"công dụng:make up bao bì/mẫu mã:sơ sài cọ mềm, nhưng khi vuốt thì thấy có nhiều bụi bay ra. nên giặt cọ rồi mới dùng. thấy mọi người có túi đựng mà của mình để túi bóng nên hơi thất vọng. giá rẻ nên không hi vọng nhiều",negative,
46,"công dụng:trang điểm bao bì/mẫu mã:đẹp đầu cọ mềm, dùng thích lắm nha mn. vì là hàng quốc tế nên về hơi lâu một chút, điểm trừ là đặt 9 cây thì sốp giao thiếu mất 1 cây ạ 😞",positive,
