,comment,label
0,"đúng với mô tả:nhìn ngoài thì giống mô tả chất lượng sản phẩm:chưa dùng nên chưa biết thất vọng ! không sử dụng được :  aap dữ liệu vào không được , lắp vào camera cũng không nhận . tóm lại không sử dụng được và hỏng thiết bị .",negative
1,"không nên mua, giá rẻ, nói chung về thấy thẻ có nhận. ham rẻ nên mua nhưng về dùng chập chờn. hầu như k nhận. chấp nhận vì hàng giá rẻ, feedback để mng tham khảo",negative
2,đúng với mô tả:đúng như mô tả chất lượng sản phẩm:tốt giao hàng rất nhanh..... dùng ko được.,positive
3,chất lượng sản phẩm:hàng đểu không nhận dữ liệu không lên mua,negative
4,đúng với mô tả:đúng mô tả tiền nào của đó hễ đồ rẻ là đồ bỏ ko sao cũng ko có lần hai vì tôi sử dụng thẻ nhớ rất nhiều chất lượng sản phẩm:đang test thấy cũng ok ổn thì sẽ mua dài dài... test đc 3 ngày là bất ổn lưu dữ ngày đầu ngày thứ hai chỉ quay ko lưu đc nha,negative
5,sản phẩm rất kém chất lượng mua về gắn vào camera chạy được bữa một tẻo ko cho sao nào 😡,negative
6,"sử dụng được 1 ngày, dử liệu mất hết. bài học mua hàng giá rẻ",neutral
7,"sản phẩm đúng với mô tả, tuy nhiên cho vào máy tính không kết nối được. mọi người không nên mua nhé!",negative
8,chất lượng sản phẩm:rất tệ đúng với mô tả:không dùng được rất tệ ! dung lượng ghi đúng nhưng tải dữ liệu rất chậm và xảy ra lỗi thường xuyên phải format lại thẻ lại rất mất công ! mua xong ôm cục tức thêm ! cám thấy bị lừa đảo !,negative
9,đúng với mô tả:hàng đúng như mô tả của nhà bán hàng có điều ko biết có đc bền ko nữa thẻ đểu hỏng ko dùng đc đm bán hàng lừa đảo,negative
10,đúng với mô tả:một sao chất lượng sản phẩm:thẻ nhớ 256 g gửi hàng bị lổi,neutral
11,đúng với mô tả:không chất lượng sản phẩm:tệ 1t ảo nha mn tui mua về teck r tui đưa tap vào nó ko đủ 1t đâu teck đủ lun thường 1t cũng mấy triệu mn đừng tham rẻ r mua nha mong mn có những lựa chọn đúng,negative
12,"chất lượng sản phẩm:như cc đúng là thẻ china. cái thẻ này trước khi dùng nhớ format lại. để chứa video, ảnh thì ok, bỏ mấy cái file zip hay tài liệu là hỏg file nha. lưu ý trc khi dùng nên format lại và chỉ để chứa ảnh, video. còn về lâu dài có mất file hay ko thì chưa biết",positive
13,thể đểu không dùng được,negative
14,lừa đảo,negative
15,"đúng với mô tả:nhìn ngoài giống mô tả chất lượng sản phẩm:qúa kém thất vọng ! thẻ quá kém , tốc độ sao chép qúa chậm và gần như không nhận dữ liệu , còn dung lượng trống vẫn báo đủ , mọi người nên cân nhắc ạ ?",negative
16,đúng với mô tả:không đúng đặt thẻ 1t mà nhận thẻ 512 là sao vậy ?,negative
17,"đúng với mô tả:chất lượng trung bình, lúc camera nhận dc lúc không nhận dc,",negative
18,mua về ko dùng đc không nhận thẻ thẻ khác thì nhận mà thẻ ở shop mua về ko nhận,negative
19,"đúng với mô tả:đúng chất lượng sản phẩm:khôg chất lượng để vào camera đang định dạng thẻ cái bị lỗi rồi thử lại ko nhận thẻ luôn, camera và điện thoại luôn, mới để vào thì camera thông báo thẻ hỏng😕",neutral
20,không sử dụng được. báo dung lượng đủ nhưng không nhập được tín hiệu,negative
21,không biết vì sao.lắp điện thoại và camera không hoạt động đc,negative
22,đúng với mô tả:cũng được chất lượng sản phẩm:tệ quá tệ luon đầu đọc như gì ấy 250gb mà khong chuyển qua ứng dụng được.nó cứ bảo là hết dung lượng,negative
23,đúng với mô tả:không chất lượng sản phẩm:tốc độ đọc chậm lâu lâu bị đơ đúng với mô tả:không chất lượng sản phẩm:tốc độ đọc chậm lâu lâu bị đơ,negative
24,"đúng với mô tả:sản phẩm không dùng được cho camera, nếu ai mua lắp cho camera thì cân nhắc, đã lắp cho camera imou,ezviz đều không định dạng được",negative
25,không biết là do máy tôi bị gì hay thẻ nhớ mà ko sử dụng được.,neutral
26,mình gắn vào đt nó vẫn báo là chưa có thẻ.,negative
27,2 thẻ chỉ sử dụng được 1 thẻ,negative
28,tốc độ chép vào quá chậm,negative
29,the dể 128gb ma gắn vô máy có 120gb,negative
30,"đúng với mô tả:đúng chất lượng sản phẩm:tốt được, nhưng tiếc là 958gb mà k phải 1t thôi nhưng không sao",positive
31,chất lượng sản phẩm:hàng như quảng cáo giao hàng nhanh,positive
