,comment,label
0,"đúng với mô tả:lều xông tự bung chất lượng sản phẩm:vải dù vải dù, quá mỏng, mình xông cho khách mà vải mỏng bốc hơi ra ngoài luôn, khung mỏng yếu, lều nhỏ",negative
1,vài mỏng lều nhỏ tí,neutral
2,sp lỗi shop giai quyết như qq,positive
3,lều mỏng,neutral
4,mỏng quá mỏng luôn,negative
5,"ý tưởng lều xông ⛺ thì rất hay, thay cho trùm mền bị bay hơi. tuy nhiên, lều rất nhỏ, ko thể xoay người khi đã ở trong lều. phần khoá kéo ko đủ trơn, sứt chỉ nên phần đóng mở lều cũng ko dễ dàng. mẹ mình dùng lần thứ 2 thì vì người già, tự loay hoay trong lều, chật chội nên bị ngã và phỏng. bên sản xuất nên thiết kế to và nhiều không gian hơn cho người dùng.",neutral
6,"đúng với mô tả:vải mỏng dính, mềm nhũn thế này chắc chỉ được 3 hôm là rách, thua cái loại màu xanh mình mua cách đây 3 năm.",negative
7,"chất lượng sản phẩm:bình thường note với shop ở phần ghi chú, mong shop gửi màu xám ghi hoặc màu đừng có nổi quá, shop gửi cho e màu đỏ đô mới chịu🙏",negative
8,"khung ok nhưng chất lựng vải khá mỏng, đường may viền với khung không có cuộn mép lại khiến cho hơi nóng bay ra khá nhiều. nói chung chất lượng ở mứt tạm chấp nhận được chứ k có cao cấp gì cả. với giá thành này thì hy vọng được sản phẩm khá hơn cơ.",neutral
9,ko đúng với mẫu sản phẩm đã đặc,negative
10,#shopxuhuong – voucher độc quyền shop – mã tăng thêm số lượng có hạn – chốt đơn ngay! janfm477 - giảm 100% tối đa 18000 đơn từ 119000 mua ngay tại: giabaopharma-https://s.shopee.vn/bdmnoogmr #shopxuhuong #muasamxuhuong #shopeevn vẫn có bay hơi ra nha,positive
11,"vải hơi mỏng nên hơi vẫn thoát ra ngoài được; khoá kéo trên đầu có 2 chiều nhưng khó cửa trước chỉ có 1 chiều bên ngoài, ở trong thò ra ngoài hơi bị ngược tay",neutral
12,lều khá đẹp ạ. cảm ơn shop. dùng ưng ý. mọi người nên mua về dùng ạ,positive
13,chất lượng sản phẩm:tốt đúng với mô tả:màu có hơi xấm nhưng sp ok chất lượng sản phẩm:tốt đúng với mô tả:màu có hơi xấm nhưng sp ok,positive
14,khóa trên có may mà k có cái kéo gì cả.,negative
15,đúng với mô tả:toi 1 met 75 nghoi vô dụng đầu dụng tay trái dung tay phai,negative
16,"vải dù mỏng,chưa xài nên chưa biết thấm nước hay ko nữa. đã note lưu ý là lấy màu xanh than mà shop kiểu ko quan tâm nên gửi lều màu này!",negative
17,"chất liệu quá mỏng so với hính, đóng gói kỹ, vận chuyển nhanh, hình chỉ mang tính chất lấy xu",neutral
18,không giống cái mình sử dụng trước đây,negative
