comment,label
"đúng với mô tả:lều xông tự bung chất lượng sản phẩm:vải dù vải dù, quá mỏng, mình xông cho khách mà vải mỏng bốc hơi ra ngoài luôn, khung mỏng yếu, lều nhỏ",negative
vài mỏng lều nhỏ tí,negative
sp lỗi shop giai quyết như qq,negative
lều mỏng,negative
mỏng quá mỏng luôn,negative
"ý tưởng lều xông ⛺ thì rất hay, thay cho trùm mền bị bay hơi. tuy nhiên, lều rất nhỏ, ko thể xoay người khi đã ở trong lều. phần khoá kéo ko đủ trơn, sứt chỉ nên phần đóng mở lều cũng ko dễ dàng. mẹ mình dùng lần thứ 2 thì vì người già, tự loay hoay trong lều, chật chội nên bị ngã và phỏng. bên sản xuất nên thiết kế to và nhiều không gian hơn cho người dùng.",negative
"đúng với mô tả:vải mỏng dính, mềm nhũn thế này chắc chỉ được 3 hôm là rách, thua cái loại màu xanh mình mua cách đây 3 năm.",negative
"chất lượng sản phẩm:bình thường note với shop ở phần ghi chú, mong shop gửi màu xám ghi hoặc màu đừng có nổi quá, shop gửi cho e màu đỏ đô mới chịu🙏",negative
"khung ok nhưng chất lựng vải khá mỏng, đường may viền với khung không có cuộn mép lại khiến cho hơi nóng bay ra khá nhiều. nói chung chất lượng ở mứt tạm chấp nhận được chứ k có cao cấp gì cả. với giá thành này thì hy vọng được sản phẩm khá hơn cơ.",positive
ko đúng với mẫu sản phẩm đã đặc,negative
#shopxuhuong – voucher độc quyền shop – mã tăng thêm số lượng có hạn – chốt đơn ngay! janfm477 - giảm 100% tối đa 18000 đơn từ 119000 mua ngay tại: giabaopharma-https://s.shopee.vn/bdmnoogmr #shopxuhuong #muasamxuhuong #shopeevn vẫn có bay hơi ra nha,negative
"vải hơi mỏng nên hơi vẫn thoát ra ngoài được; khoá kéo trên đầu có 2 chiều nhưng khó cửa trước chỉ có 1 chiều bên ngoài, ở trong thò ra ngoài hơi bị ngược tay",negative
lều khá đẹp ạ. cảm ơn shop. dùng ưng ý. mọi người nên mua về dùng ạ,negative
chất lượng sản phẩm:tốt đúng với mô tả:màu có hơi xấm nhưng sp ok chất lượng sản phẩm:tốt đúng với mô tả:màu có hơi xấm nhưng sp ok,positive
khóa trên có may mà k có cái kéo gì cả.,negative
đúng với mô tả:toi 1 met 75 nghoi vô dụng đầu dụng tay trái dung tay phai,negative
"vải dù mỏng,chưa xài nên chưa biết thấm nước hay ko nữa. đã note lưu ý là lấy màu xanh than mà shop kiểu ko quan tâm nên gửi lều màu này!",negative
"chất liệu quá mỏng so với hính, đóng gói kỹ, vận chuyển nhanh, hình chỉ mang tính chất lấy xu",negative
không giống cái mình sử dụng trước đây,negative
"chất lượng sản phẩm:vải mỏng. rất mỏng. thấp, nhỏ hơn nhiều so vs mình nghĩ. vs tầm tiền thì tạm ổn",negative
"vải bình thường, k dày, lều kiều phi nhưng sao mình nhận thì k thấy in tên hãng. chất vải hơi mỏng k biết dùng đc lâu k, lần sau sẽ thử mua của bên khác về để so sánh thử.",negative
giao hàng chậm,negative
ok,positive
"chất lượng sản phẩm:bình thường cũng tạm được , mn muốn mua thì xem ảnh mình đăng là biết, lều tuy ko đẹp như mong muốn nhưng phù hợp với giá tiền",negative
"chất lượng sản phẩm:phai dung moi biet đúng với mô tả:minh thay hoi mong có vài lỗ liti, k biết bền k chứ đây là lần đầu trải nghiệm, mua theo đánh giá. mình thấy vải chứ k phải dù dày như loại mình đã dùng",negative
"chất lượng sản phẩm:ok đúng với mô tả:ok giao hàng đủ số lượng, shop uy tín, shipper nhiệt tình vui vẻ",negative
lều xông hơi màu ngẫu nhiên đúng như quảng cáo chất liệu nylong ko quá dày giao hàng nhanh chưa sử dụng chưa đánh giá được chất lượng sản phẩm đánh giá sau,negative
lều rộng rãi nhưng mà vải nilon hơi mỏng. với giá này thì khá là ok 👍,positive
chất lượng sản phẩm:tam tam vai. hơi mỏng so với mình xem trong hình ảnh dùng tạm vài bữa xem ntn. người lớn dùng hơi nhỏ ạ xông cho em bé nhỏ thì ok,positive
đúng với mô tả:ok chất lượng sản phẩm:tạm khung hơi lỏng lẻo có thể uốn cong vải dù mỏng màu tối khi dựng lên ko đc chắc chắn khá lỏng lẻo đúng kích thước giao đúng tgian giá cả tạm chấp nhận,negative
"chất liệu dù, vải mỏng, tiền nào của đó thôi, phù hợp vs giá tiền",negative
"dặn shop lấy cái màu khác rồi mà k dk 😢, lều giống hình, nhìn cũng chắc chắn",negative
0 shop giao hàng nhanh chưa dùng nên chưa biết chất lượng sản phẩm như thế nào,negative
"chất lượng sản phẩm:lều vải mỏng, nhiều chỗ còn may liền vô luôn phải cắt đi đúng với mô tả:đúng đầu tư thêm cái máy xông hơi mini ngồi chill thật sự, vải tuy mỏng nhưng ko bị thoát hơi, xông đã đời luôn, tuy nhiên độ hoàn thiện ko cao lắm, lỗi vài chỗ",negative
hơi khó gấp lại. với giá như vậy thì thấy cũng oki. vải dù mát mẻ,negative
shop giao đúng mầu. vải cũng bình thường k dầy. nói chung tương đối,negative
