,comment,label
0,túi trông chắc chắn và bền. nhưng điểm sử dụng khóa và lưới tản nhiệt phía sau nó không chặt chẽ nên được đặt và nảy mầm rất nhiều.,neutral
1,người giao hàng gọi điện nói rằng nó không thể giao hàng kịp thời. yêu cầu ngày hôm sau nhưng báo cáo rằng giao hàng không thành công,negative
2,chất lượng sản phẩm:ok đúng với mô tả:đúng hàng ok. tóm lại tốt. ngày đó anh ngỡ chỉ là lời nói thốt ra khi mình hờn.,spam
3,"đúng với mô tả:tốt sản phẩm chất lượng tốt. shop tư vấn nhiệt tình, nhanh chóng. nhưng giao hàng hơi lâu hinh anh mang tinh chất nhận xu",positive
4,đúng với mô tả:đẹp mặc dù hàng mik xé hàng bằng tay nhưng lại có vết cắt bằng dao bên trên 😮‍💨 do lỗi bên shop đóng gói rồi 😮‍💨😮‍💨😮‍💨😮‍💨,positive
5,chất lượng sản phẩm:ổn đúng với mô tả:đúng tiếc là thời gian giao hàng quá lâu,positive
6,"túi đẹp, oke nhưng chất liệu da này anh em đi ngoài nắng nhiều nên cân nhắc hạn chế sử dụng vì sẽ nứt và rách nhanh. mình đặt mua 2 sp nhưng shop gửi thiếu, mong shop sẽ hạn chế sai sót nha",neutral
7,"đúng với mô tả:tốt chất lượng tương xứng giá tiền, dung tích thực tế hơi nhỏ hơn mức thông số 9l",positive
8,"chất lượng sản phẩm:cung dc đúng với mô tả:cung dc [qc] du lịch muôn nơi, nhận quà phơi phới! nhận ngay 6gb/ngày tốc độ cao, tặng thêm 05 lượt quay/ngày tham gia vòng quay may mắn để có cơ hội sở hữu những phần quà giá trị từ kho quà tặng hấp dẫn, miễn phí data truy cập ứng dụng smarttravel. soạn st135 gửi 999 (200đ/sms). cước 135.000đ/30 ngày. tải smarttravel: https://smarttravel.vn. chi tiết lh 9090. từ chối nhận qc soạn tc gửi 9241. trân trọng.",spam
9,đúng với mô tả:ok chất lượng sản phẩm:ok ok,positive
10,sản phẩm đúng như đã giới thiệu!,positive
11,"ae nên dùng 9l, vì để vừa 1 bộ quần áo mưa thôi, k biết shop có ship nhầm không",neutral
12,hàng râtd đẹp ok lắm nha mng nên mua,positive
13,chất lượng sản phẩm:xem ra ổn.,neutral
14,good quality.,positive
15,tốt. tuy nhiên kích thước ko giống mô tả và bọc ngoài màu xanh chống mưa ko hiệu quả như mong đợi,negative
16,a little small to use for motorbike,neutral
17,chất lượng sản phẩm:10/10. đẹp. tốt so với giá tiền đúng với mô tả:10/10. mô tả đúng hài lòng. tuyệt phẩm. 9l sẽ hơi to nhưng để đựng đồ thì siêu nhiều đồ. vừa tầm 2 bộ áo mưa và thêm đồ dùng nên mua nha mn. có kèm túi mưa bọc ngoài. khá ưng ý,neutral
18,"chất lượng sản phẩm:tốt đúng với mô tả:đúng túi siêu to, dày dặn, khoá kéo chắc chắn dễ kéo, một ngăn to, 1 ngăn nhỏ dẹp ở nắp túi, có bọc chống ướt bụi. giá siêu hợp lý, uy tín, thanks shop nhiều",positive
19,"chất lượng sản phẩm:xuất sắc đúng với mô tả:đẹp hàng cực đẹp, dày dặn. khóa kéo cứng cáp, khít không sợ nước, có thêm miếng bọc kháng nước khi trời mưa nữa. rất hài lòng.",positive
