,comment,label
0,"shop đóng gói quá tệ, không có bao bọc chống sốc gì cho sản phẩm hết sản phẩm khách mua mấy trăm ngàn mà còn thua mấy ngàn của shop khác nữa",negative
1,"shop ko kiểm tra hàng trước khi giao cho khách, giao hàng rách 1 lỗ…",negative
2,dùng hơi chán. cục rung bé quá. tự cổ với tựa lưng ko vừa người 🤧 ai mua lại mình pass rẻ nửa giá,negative
3,gối ko căng như mô tả. hơi xẹp nên ngồi ko thoải mái và thư giãn gì cả. giá cao so với chất lượng,negative
4,"gối thì ok, tựa thì đểu",negative
5,k thấy rung gì. quảng cáo k thật,negative
6,rất say buồn nôn khi dùng cái này,positive
7,"chỉ có chức năng rung mạnh nhẹ, k có bóp hoặc trườn con lăn … dùng thấy k thích lắm",positive
8,"chất lượng sản phẩm:được thiết kế rất ngu. nút điều khiển đặt tít bên dưới và sát vào trong lúc ngồi bị đè vào và cái nữa đặt tít trên cổ. bấm rất khó. đáng lẽ nên đặt ở dây điện. thêm cái nữa nó sẽ tự động ngắt, lúc thì 5p lúc thì 10p lúc 30p. nói chung ae nên mua hãng khác",negative
9,rung mỏi thêm chứ chả có tác dụng gì,negative
10,chất lượng sản phẩm:chư dung nên chưa biết đúng với mô tả:có vẻ đúng. tuy nhiên mình mới nhận đc gối và chưa có dây sạc? đang chờ shop phản hồi.,neutral
11,"rung tạm ổn, các chế độ không khác biệt nhau lắm. phần trên ngồi cấn lưng",neutral
12,quảng cáo thyg kêu massa mạnh nhưng nhận thỳ thật sự là nhẹ cực nhẹ. mọi người nên suy nghĩ kĩ ạ. k ăn thua đâu ạ,negative
13,massage con khỉ gi kêu rè rè cục lăn nhỏ tí có chạm dc vào cổ người đâu mà massage,negative
14,đúng với mô tả:đúng chất lượng sản phẩm:ổn không quá đặc biệt so với giá thành.,positive
15,ổn nhưng hơi dầy,neutral
16,"chất lượng sản phẩm:dùng được đúng với mô tả:đúng với mô tả dùng được, đúng với mô tả. phần massage lưng nên bổ sung thêm 1 bộ massage phía trên để massage lưng hiệu quả hơn",positive
17,"chất lượng sản phẩm:bình thường cơ bản vai trò là đệm tựa, phần mát xa thì có lẽ để cho văn nghệ thôi, có rung rung sau lưng như muỗi gãi nhưng tiếng rì rì sẽ gây ồn và khó chịu, có cảm giác hơi đau đầu khi lái xe mà bật chế độ rung. nên có lẽ chỉ dùng đc khi đỗ hẳn xe, nằm chờ ai đó thì bật lên cho vui",neutral
18,"thấy cũng ok. dạng rung mềm. lúc đầu nhìn hình quảng cáo tưởng là dạng con lăn, có nhiệt; nhưng mà ko có con lăn nha. nhưng gối mềm vậy có lẽ phù hợp với đặt trên ghế hơn. tuy nhiên các chế độ massage rung thì ko thấy có nhiệt, nhìn quảng cáo tưởng có",neutral
19,"giao hàng siêu nhanh. hok biết s nhanh dữ thần lun. hàng tạm ổn áp nhé. ngoài khâu mún sài thì phải cắm dây. khá lằng nhằng và trên xe pải nìu ổ cắm. hei. để m sử dụng ok quay lại tăng sao nhé. cảm nhận nhận hàng good. em mua dư 1 gối kê cổ, do a ck k sài. ai dùng ib em pass nha. ngoài tháo bọc còn lại y gốc 0907142868",positive
20,"shop cần đóng gói cẩn thận hơn, cao su mềm, nhưng tựa đầu hơi cấn và khi rung ồn khó chịu",positive
21,"chỉ rung, giá rẻ nên hơi ù.cao su khá tốt",positive
22,hình ảnh chỉ mang tính chất minh hoạ gối cao su non mềm có mấy chế độ massage nhưng không oke lắm vì chỉ rung chứ k có con lăn xoa bóp,neutral
23,đúng với mô tả:đúng mô tả chất lượng sản phẩm:ok,positive
24,nói chung là cũng được. k quá xuất sắc như đồn đoán,positive
