,comment,label

5999,kấy nối đông hồ kiur j,neutral
6000,ko có sim tốm lại là tóm lại,negative
6001,không tải được thêm app nói kh rõ,negative
6002,hàng mới về được hay ngày đã hỏng nguồn không lên,negative
6003,chất lượng sản phẩm:ok tính năng nổi bật:ok đúng với mô tả:không giống sản phẩm kết nối với điện thoại rồi nhưng không hiện tin nhắn và bị sáng bên trong,neutral
6004,chẳng hướng sử dụng và cài đặt.nhắn ko nhắn lại.giao hàng nhanh chất lượng bt chỉ mang tc thông báo .và gọi dc ko nghe dc gọi đến,negative
6005,đúng với mô tả:5 tính năng nổi bật:0 chất lượng sản phẩm:cha co,neutral
6006,hàng đúng mẫu nhưng pin dùng nhanh hết xạc lâu đầy,neutral
6007,"hướng dẫn sử dụng bằng tiếng anh, nhận được đồng hồ nhắn tin cho shop nhờ gửi bằng tiếng việt, shop không phản hồi, không biết làm sao bỏ sim vào máy",negative
6008,"đúng với mô tả:không thể gọi khi không có sim, không chụp được ảnh nhưng dùng khá ok tính năng nổi bật:không có chất lượng sản phẩm:khá",neutral
6009,chất lượng sản phẩm:bthuong tính năng nổi bật:chủ yếu xem giờ cài ntn cũng không kết nối đc từ đồng hồ với iphone đổi hình nền hỏi shop ko có như cầu tư vấnn xem hướng dẫn ở mạng ntn cũng không cài được hình nền theo í thích vào đồng hồ,negative
6010,màn hơi lỏ nhưg dùng vx dc,negative
6011,như này sao đeo,neutral
6012,chất lượng sản phẩm:chưa tốt,negative
6013,"🎉 💃 chào mừng tuần lễ áo dài cùng thung nham – cơ hội vàng nhận quà ngọt ngào! 👠🎉 thung nham gọi nắng, tháng ba gọi nàng, và 8/3 ngọt ngào hạnh phúc đang đến gần! khi những tia nắng ấm áp của mùa xuân len lỏi khắp mọi ngóc ngách, thung nham xin chào đón các quý cô xinh đẹp trong không gian thiên nhiên tươi mới, ngập tràn yêu thương và hạnh phúc nhân dịp tuần lễ áo dài đặc biệt này. và đương nhiên, không thể thiếu một mini game siêu hấp dẫn dành riêng cho các bạn, với giải thưởng cực kỳ hấp dẫn đang chờ đón! vậy còn chần chờ gì nữa, hãy cùng tham gia ngay để vừa thể hiện tình yêu với chiếc áo dài truyền thống hay việt phục, cổ phục vừa có cơ hội nhận về những phần quà giá trị từ thung nham! 🥰cách tham gia siêu dễ ✨ 👉tham gia sự kiện tuần lễ áo dài - thung nham gọi nắng, tháng 3 gọi nàng trên facebook. 👉chị em thả dáng ngay tại thung nham, khoe vẻ đẹp duyên dáng của mình trong bộ áo dài yêu thích hoặc những bộ việt phục, cổ phục hay trang phục truyền thống của việt nam. 👉từ 20/02 – 08/03 (deadline 12:00 ngày 08/03): người chơi gửi ảnh kèm tên, caption, địa chỉ của mình và thời gian chụp tại thung nham qua zalo của btc - mkt thung nham (0977 585 498). 👉từ 01 – 08/03 btc sẽ bắt đầu đăng bài lên trang sự kiện chính tuần lễ áo dài – thung nham gọi nắng, tháng 3 gọi nàng. 🤩người chơi kêu gọi bạn bè, người thân vào like và comment vào post ảnh của mình. 🥳bức ảnh nào nhận được nhiều like và comment nhất sẽ giành chiến thắng! ⏰ thời gian công bố kết quả mini game: 10:00 sáng ngày 09/03/2025 ⏰ deadline gửi thông tin để nhận thưởng: 10:00 sáng ngày 10/03/2025 🏆 giải thưởng siêu hấp dẫn 🎁 ❤️‍🔥 01 giải nhất: 1 cặp voucher nghỉ dưỡng 3 ngày 2 đêm cho 02 người tại thiên điểu villas – tổng trị giá 8.580.000 vnđ (đã bao gồm 4 bữa ăn chính cho 2 người trị giá 300.000 vnđ/ suất). - 01 phòng nghỉ dưỡng tại thiên điểu villas 3n2đ dành cho 02 người - 04 bữa ăn chính (trưa/tối) dành cho 02 người trị giá 300.000 vnđ/suất - các dịch vụ tiện ích kèm theo phòng: vé tham quan, vé xe điện, xe đạp, ăn sáng ❤️‍🔥 02 giải nhì: mỗi giải 01 cặp voucher nghỉ dưỡng 2 ngày 1 đêm tại phòng deluxe double trị giá 2.800.000 vnđ. mỗi giải bao gồm: - 01 phòng nghỉ dưỡng tại hạng phòng deluxe 2n1đ cho 02 người - 02 bữa ăn chính (trưa/tối) dành cho 02 người trị giá 250.000 vnđ/suất - các dịch vụ tiện ích kèm theo phòng: vé tham quan, vé xe điện, xe đạp, ăn sáng ❤️‍🔥 03 giải ba: mỗi giải 01 cặp voucher tham quan ẩm thực vip trong ngày – trị giá 980.000 vnđ. mỗi giải bao gồm: - 02 vé tham quan khu du lịch sinh thái thung nham (đã bao gồm vé thuyền vườn chim và vé thuyền hang bụt) - 01 bữa ăn chính (trưa hoặc tối) dành cho 02 người trị giá 300.000 vnđ/suất - 02 vé xe điện toàn tuyến - 02 voucher đồ uống tại tropical bar ⏰thời gian áp dụng: từ ngày 10/03/2025 – 10/09/2025 🔖giải thưởng không có giá trị chuyển nhượng và không được quy đổi thành tiền mặt 📌 để đảm bảo công bằng cho tất cả người chơi, btc sẽ đánh giá lại tính minh bạch bằng nhiều tiêu chí khác nhau. 🔥 đừng bỏ lỡ cơ hội này! nhanh tay tham gia minigame cùng thung nham để nhận những phần quà hấp dẫn và trải nghiệm không gian tuyệt vời, thư giãn tại thung nham. có 1 lưu ý nho nhỏ là các bạn nhớ thực hiện đủ các bước nhé, thiếu là không được tính đâu nè. https://www.facebook.com/share/1br21gexsn/",spam
6014,"sản phẩm đúng nghĩa là đồng hồ, màn hình sáng đẹp, ko nhạy lắm, các chức năng còn lại fake. bộ đo không chính xác, không có loa...",negative
6015,"chất lượng sản phẩm:tạm đúng với mô tả:gần chả có gì . các chức năng đo đều fake + chạy bôk thì cảm giác định vị rất kém , ko đc chính xác . chỉ để đẹp th :vvv",negative
6016,cũng nét đẹp m. n ạ,positive
6017,ok sp,positive
6018,"đúng với mô tả:dung tính năng nổi bật:ok chất lượng sản phẩm:tot hàng giao nhanh, đúng màu, đúng mô tả. hàng với tầm giá này thì chất lượng được vậy cũng ổn áp",positive
6019,đúng với mô tả:đúng tính năng nổi bật:xem giờ chất lượng sản phẩm:tạm ổn đồng hồ này không có phần tiếng việt nhưng cũng ok nên tôi cũng tạm chấp nhận giao hàng nhanh nhưng cái hộp thì có hơi mốt và méo một tí tôi ưng cái đồng hồ,positive
6020,tính năng nổi bật:đông hồ thông minh đúng với mô tả:giống vs mô tả chất lượng sản phẩm:bị tróc vỏ sau đồng hồ này xài pin có 200mah nên nhanh hết với cả kết nối bluetooth thì màn hình tắt thì bluetooth cũng tắt theo nên hơi mệt khi kết nối lại. loa nghe thì tốt 👍,positive
6021,"chất lượng sản phẩm:tốt hết ngoại trừ phần màn hình bị đen 1 góc đúng với mô tả:đúng mô tả tính năng nổi bật:nghe,gọi,xem giờ,nhận thông báo khi kết nối với điện thoại,.... nói chung là tốt trong tầm giá.mình chỉ ko ưng phàn màn hình bị đen 1 góc.nếu không có lỗi đó thì màn hình hiển thị rất tốt,nên mua.",positive
6022,dùng dc nhưng ko kết nối dc với dt sạc nhanh nàng hình mượt ko lác,positive
6023,tính năng nổi bật:đúng như quảng cáo tạm ok,positive
6024,chất lượng sản phẩm:ok đúng với mô tả:đng tính năng nổi bật:ok,positive
6025,với 147k thì k thể đòi hỏi quá nh thứ...có lẽ vì rẻ nên cảm ứng không tốt lắm. phải ấn mạnh rồi vuốt mới được,neutral
6026,chất lượng sản phẩm:tốt tính năng nổi bật:bình thường đúng với mô tả:đúng,positive
6027,tính năng nổi bật:không biết chất lượng sản phẩm:khá tốt đúng với mô tả:y như hình giá tiền rẻ phù hợp với học sinh sinh viên,positive
6028,chất lượng sản phẩm:tốt đúng với mô tả:gần đúng với mô tả tính năng nổi bật:có thể kết nối điện thoại,positive
6029,chất lượng sản phẩm:hơi to so vs tay đúng với mô tả:ok thêm ứng dụng chplay nx là ok,positive
6030,chất lượng sản phẩm:tốt trừ một sao vì không giữ pin mấy,positive
6031,đúng với mô tả:đúng chất lượng sản phẩm:tốt,positive
6032,đúng với mô tả:đúng tính năng nổi bật:game chất lượng sản phẩm:tốt nhưng shop đóng gói sơ sài sp tốt lắm nha,neutral
6033,đúng với mô tả:ok chất lượng sản phẩm:ok đồng hồ rất đẹp tính năng ổn định. đã mua nhiều lan kkkkk jjjjjjjjjj bbb bbb bbb bbb hhhshjjjjjjdjjjjk,positive
6034,"đúng với mô tả:màu trắng chất lượng sản phẩm:tuyệt vời tính năng nổi bật:thông minh đa chức năng ship nhanh, đóng gói cẩn thận, với giá này quá ok",positive
6035,tính năng nổi bật:tot chất lượng sản phẩm:dep đúng với mô tả:dung hàng tốt nha .đồng hồ hẹn h được nx ắ nhm hok bt xem pin chỗ nèo,positive
6036,chất lượng sản phẩm:ok tính năng nổi bật:đo huyết áp cho thêm ch play nữa thì hay có kết nối qua đt là hay r,positive
6037,"chất lượng sản phẩm:tốt đúng với mô tả:đúng tính năng nổi bật:ko biết đồng hồ siêu đẹp luôn ýyyy, đóng gói kĩ và giao hàng nhanh nè . mới xài nên cũng ko biết chất lượng thế nào nhma nói chung là vẫn đáng mua lắm nha mn oiii😻",positive
